scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
merge_hesitation,random_delay,3,0.3509,-0.4615,1.0,0.6777,1.0,0,2063.1,RANDOM_DELAY,1
merge_hesitation,risk_threshold,3,0.564,-0.0118,1.0,0.8437,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,3,0.564,-0.0118,1.0,0.8437,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,4,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,4,0.6005,0.1725,1.0,0.6577,1.0,0,200.0,EARNED_COMMIT,2
merge_hesitation,fixed_delay,4,0.3653,-0.446,1.0,0.7184,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,4,0.5708,0.0049,1.0,0.8441,1.0,0,1272.7,RANDOM_DELAY,1
merge_hesitation,risk_threshold,4,0.5652,-0.009,1.0,0.8438,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,4,0.5652,-0.009,1.0,0.8438,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,5,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,5,0.6058,0.1848,1.0,0.6592,1.0,0,233.3,EARNED_COMMIT,2
merge_hesitation,fixed_delay,5,0.3818,-0.4071,1.0,0.723,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,5,0.4376,-0.3017,1.0,0.7914,1.0,0,1848.5,RANDOM_DELAY,1
merge_hesitation,risk_threshold,5,0.5724,0.0091,1.0,0.8438,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,5,0.5724,0.0091,1.0,0.8438,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,6,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,6,0.6226,0.2295,1.0,0.6538,1.0,0,266.7,EARNED_COMMIT,2
merge_hesitation,fixed_delay,6,0.3765,-0.4186,1.0,0.7197,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,6,0.4303,-0.321,1.0,0.7935,1.0,0,1856.3,RANDOM_DELAY,1
merge_hesitation,risk_threshold,6,0.5633,-0.0139,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,6,0.5633,-0.0139,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,7,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,7,0.5857,0.1467,1.0,0.635,1.0,0,266.7,EARNED_COMMIT,2
merge_hesitation,fixed_delay,7,0.3728,-0.4263,1.0,0.7166,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,7,0.2168,-0.6802,1.0,0.4445,1.0,0,3568.8,RANDOM_DELAY,1
merge_hesitation,risk_threshold,7,0.5721,0.0081,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,7,0.5721,0.0081,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
merge_hesitation,greedy,8,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
merge_hesitation,hesitation,8,0.6032,0.1819,1.0,0.6521,1.0,0,233.3,EARNED_COMMIT,2
merge_hesitation,fixed_delay,8,0.3758,-0.4193,1.0,0.7175,1.0,0,2000.0,FIXED_DELAY,1
merge_hesitation,random_delay,8,0.5697,0.0022,1.0,0.8441,1.0,0,117.0,RANDOM_DELAY,1
merge_hesitation,risk_threshold,8,0.5713,0.0061,1.0,0.8442,1.0,0,0.0,RISK_THRESHOLD,1
merge_hesitation,ttc_only,8,0.5713,0.0061,1.0,0.8442,1.0,0,0.0,TTC_COMMIT,1
