frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
265,57.549,PROBE,0.3278,0.4684,0.0,-0.0034,0.0036,0.0,0.0,0.0,
266,57.751,PROBE,0.3283,0.4689,0.0,-0.0033,0.0036,0.0,0.0,0.0,
267,57.95,PROBE,0.4441,0.4681,0.3879,-0.0024,0.0036,0.0001,0.0003,0.0,
268,58.156,PROBE,0.3287,0.4696,0.0,-0.0021,0.0035,0.0,0.0,0.0,
269,58.366,PROBE,0.3296,0.4708,0.0,-0.0019,0.0033,0.0,0.0,0.0,
270,58.562,PROBE,0.3271,0.4673,0.0,-0.0016,0.0031,0.0,0.0,0.0,
271,58.761,PROBE,0.3272,0.4674,0.0,-0.0012,0.0029,0.0,0.0,0.0,
272,58.969,PROBE,0.3272,0.4674,0.0,-0.0017,0.0029,0.0,0.0,0.0,
273,59.172,PROBE,0.4524,0.467,0.4182,-0.0006,0.0029,0.0,0.0,0.0,
274,59.368,PROBE,0.4605,0.466,0.4476,-0.0003,0.0032,0.0004,0.0012,0.0,
275,59.561,PROBE,0.4649,0.4655,0.4634,0.0,0.0034,0.0023,0.0065,0.0,
